t_snap;totNumLinks
0;525
1;1345
2;1632
3;1764
4;1620
5;1714
6;1752
7;1726
8;1966
9;2026
10;2165
11;1895
12;2114
13;2116
14;1995
15;2056
16;2014
17;2067
18;2058
19;2056
20;1869
21;1789
22;1865
23;1937
24;2083
25;2202
26;2391
27;2284
28;2271
29;2224
30;2300
31;2493
32;2364
33;2550
34;2348
35;2363
36;2560
37;2516
38;2744
39;2612
40;2718
41;2813
42;2727
43;2701
44;2783
45;3063
46;2896
47;3222
48;3364
49;3247
50;3170
51;3191
52;3351
53;3443
54;3513
55;3523
56;3639
57;3921
58;3639
59;3825
60;3973
61;3888
62;4029
63;4553
64;4610
65;4781
66;4941
67;5448
68;5686
69;6043
70;5707
71;6513
72;6498
73;6744
74;7071
75;7750
76;8188
77;8441
78;8551
79;8944
80;8884
81;8908
82;9795
83;10218
84;10428
85;11109
86;11559
87;11970
88;12468
89;13723
90;14007
91;14778
92;15279
93;15841
94;15746
95;17362
96;17841
97;18446
98;20060
99;19845
100;20792
101;20530
102;20609
103;22628
104;23058
105;24377
106;24654
107;25137
108;25811
109;26087
110;26200
111;27593
112;28523
113;27767
114;27417
115;28509
116;28109
117;28812
118;29179
119;29072
120;28832
121;29564
122;29722
123;29121
124;28815
125;28862
126;29369
127;29162
128;29307
129;28544
130;28404
131;28761
132;27938
133;25380
134;27772
135;27529
136;27702
137;26656
138;26219
139;26728
140;26383
141;25644
142;24981
143;24147
144;23947
145;23410
146;23878
147;23061
148;22406
149;22291
150;22901
151;22555
152;22982
153;22073
154;22044
155;22093
156;22006
157;22448
158;21885
159;21632
160;22217
161;21995
162;21279
163;21649
164;21566
165;21998
166;22019
167;22176
168;21513
169;21490
170;21861
171;22263
172;21942
173;22325
174;22295
175;22017
176;21281
177;21710
178;21642
179;21509
180;21975
181;22171
182;20951
183;19768
184;22473
185;22478
186;22346
187;21693
188;21323
189;21860
190;21839
191;22218
192;22052
193;22299
194;22525
195;23023
196;23215
197;23543
198;23560
199;23991
200;24607
201;25188
202;24916
203;25857
204;25428
205;24680
206;23828
207;23385
208;22442
209;22405
210;22134
211;20526
212;20591
213;20001
214;19561
215;18882
216;18127
217;17886
218;17530
219;17032
220;17458
221;18296
222;17625
223;18149
224;18969
225;18894
226;19191
227;19795
228;19974
229;20696
230;20920
231;21530
232;21621
233;21548
234;23190
235;23050
236;23225
237;23123
238;22113
239;22746
240;22896
241;22362
242;21871
243;21319
244;21281
245;21558
246;21915
247;22302
248;21704
249;21783
250;21853
251;21804
252;21058
253;21399
254;21377
255;21778
256;21461
257;21422
258;20847
259;20575
260;20555
261;20938
262;21475
263;21327
264;21542
265;21565
266;21742
267;21493
268;21418
269;21346
270;21516
271;21955
272;21418
273;21335
274;21491
275;22344
276;23138
277;23679
278;23278
279;22839
280;21858
281;22902
282;22883
283;21862
284;23369
285;23259
286;23705
287;23842
288;23200
289;23621
290;24427
291;24203
292;24215
293;24615
294;24942
295;24801
296;24894
297;25346
298;24857
299;23973
300;24493
301;24597
302;24585
303;25033
304;25264
305;25400
306;25178
307;24919
308;25446
309;24885
310;25439
311;25963
312;25563
313;25992
314;25330
315;24775
316;25014
317;24485
318;25356
319;25480
320;25396
321;24977
322;25571
323;25926
324;25998
325;25753
326;25227
327;25306
328;23387
329;26083
330;25804
331;25489
332;25538
333;25378
334;25146
335;24953
336;24157
337;23993
338;24148
339;24162
340;24046
341;23914
342;24021
343;23670
344;23321
345;23089
346;23196
347;22057
348;21568
349;21714
350;21207
351;20929
352;20424
353;20148
354;19691
355;19167
356;18571
357;17991
358;17494
359;16779
360;16313
361;15500
362;14146
363;14137
364;14395
365;14132
366;13451
367;12752
368;12174
369;12168
370;11581
371;10946
372;10454
373;10144
374;10071
375;9778
376;9744
377;9307
378;8651
379;8675
380;8546
381;8413
382;8112
383;8416
384;8035
385;7812
386;7620
387;7557
388;7430
389;7227
390;7001
391;6847
392;6981
393;6982
394;6764
395;7030
396;6874
397;7324
398;6637
399;6627
400;6624
401;6475
402;6048
403;6425
404;6561
405;6679
406;6513
407;6298
408;6117
409;6107
410;6174
411;6354
412;5911
413;6144
414;6792
415;7061
416;6670
417;7070
418;6481
419;6724
420;6185
421;6477
422;6460
423;5878
424;6191
425;5798
426;5944
427;6006
428;6073
429;6109
430;5848
431;5832
432;5571
433;5802
434;5593
435;5465
436;5303
437;5204
438;5004
439;3870
440;4433
441;4551
442;4678
443;4673
444;4389
445;4283
446;4082
447;3852
448;3768
449;3771
450;3712
451;3584
452;3556
453;3272
454;3344
455;3046
456;2948
457;2926
458;2893
459;3186
460;3094
461;2895
462;3145
463;2948
464;3004
465;2788
466;2880
467;2666
468;2772
469;2699
470;2775
471;2416
472;2296
473;2435
474;2571
475;2480
476;2686
477;2474
478;2048
479;2177
